unidade;ano;mes;tipo_procedimento;qtde_procedimento
HAC;2025,0;10,0;CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO;1,0
HAC;2025,0;10,0;HISTEROSCOPIA CIRURGICA C/ RESSECTOSCOPIO;1,0
HAC;2025,0;10,0;SALPINGOPLASTIA VIDEOLAPAROSCOPICA;1,0
HAC;2025,0;11,0;CURETAGEM UTERINA EM MOLA HIDATIFORME;1,0
HAC;2025,0;11,0;HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL);1,0
HAC;2025,0;11,0;HISTERECTOMIA TOTAL;2,0
HAC;2025,0;11,0;OOFORECTOMIA / OOFOROPLASTIA;1,0
HAC;2025,0;12,0;CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO;1,0
HAC;2025,0;12,0;HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL);1,0
HAC;2025,0;12,0;HISTERECTOMIA C/ ANEXECTOMIA BILATERAL E COLPECTOMIA SOB PROCESSO TRANSEXUALIZADOR;1,0
HAC;2025,0;12,0;HISTERECTOMIA TOTAL AMPLIADA (WERTHEIN-MEIGS);1,0
HAC;2025,0;12,0;OOFORECTOMIA / OOFOROPLASTIA;1,0
HAC;2026,0;1,0;CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO;2,0
HAC;2026,0;1,0;EXERESE DE POLIPO DE UTERO;1,0
HAC;2026,0;1,0;EXTIRPACAO DE LESAO DE VULVA / PERINEO (POR ELETROCOAGULACAO OU FULGURACAO);1,0
HAC;2026,0;1,0;OOFORECTOMIA / OOFOROPLASTIA;1,0
HAC;2026,0;2,0;HISTERECTOMIA TOTAL;1,0
HAC;2026,0;2,0;OOFORECTOMIA / OOFOROPLASTIA;1,0
HEM;2026,0;1,0;EXTIRPACAO DE LESAO DE VULVA / PERINEO (POR ELETROCOAGULACAO OU FULGURACAO);1,0
HJK;2019,0;1,0;CESAREAS;68,0
HJK;2019,0;1,0;CIRURGIA GINECOLÓGICA;35,0
HJK;2019,0;1,0;CURETAGEM;12,0
HJK;2019,0;1,0;FORCEPS NORMAL;5,0
HJK;2019,0;1,0;PARTO GEMELAR NORMAL;1,0
HJK;2019,0;1,0;PARTO NORMAL;151,0
HJK;2019,0;2,0;CESAREAS;66,0
HJK;2019,0;2,0;CIRURGIA GINECOLÓGICA;35,0
HJK;2019,0;2,0;CURETAGEM;12,0
HJK;2019,0;2,0;FORCEPS CESAREA;1,0
HJK;2019,0;2,0;FORCEPS NORMAL;5,0
HJK;2019,0;2,0;PARTO GEMELAR CESARIANA;5,0
HJK;2019,0;2,0;PARTO GEMELAR NORMAL;1,0
HJK;2019,0;2,0;PARTO NORMAL;145,0
HJK;2019,0;3,0;CESAREAS;75,0
HJK;2019,0;3,0;CIRURGIA GINECOLÓGICA;18,0
HJK;2019,0;3,0;CURETAGEM;12,0
HJK;2019,0;3,0;PARTO GEMELAR CESARIANA;1,0
HJK;2019,0;3,0;PARTO GEMELAR NORMAL;2,0
HJK;2019,0;3,0;PARTO NORMAL;132,0
HJK;2019,0;4,0;CESAREAS;60,0
HJK;2019,0;4,0;CIRURGIA GINECOLÓGICA;36,0
HJK;2019,0;4,0;CURETAGEM;22,0
HJK;2019,0;4,0;FORCEPS CESAREA;2,0
HJK;2019,0;4,0;FORCEPS NORMAL;1,0
HJK;2019,0;4,0;PARTO GEMELAR CESARIANA;2,0
HJK;2019,0;4,0;PARTO GEMELAR NORMAL;2,0
HJK;2019,0;4,0;PARTO NORMAL;155,0
HJK;2019,0;5,0;CESAREAS;63,0
HJK;2019,0;5,0;CIRURGIA GINECOLÓGICA;32,0
HJK;2019,0;5,0;CURETAGEM;13,0
HJK;2019,0;5,0;FORCEPS CESAREA;1,0
HJK;2019,0;5,0;FORCEPS NORMAL;3,0
HJK;2019,0;5,0;PARTO GEMELAR CESARIANA;6,0
HJK;2019,0;5,0;PARTO GEMELAR NORMAL;1,0
HJK;2019,0;5,0;PARTO NORMAL;140,0
HJK;2019,0;6,0;CESAREAS;63,0
HJK;2019,0;6,0;CIRURGIA GINECOLÓGICA;33,0
HJK;2019,0;6,0;CURETAGEM;9,0
HJK;2019,0;6,0;FORCEPS CESAREA;1,0
HJK;2019,0;6,0;FORCEPS NORMAL;1,0
HJK;2019,0;6,0;PARTO GEMELAR CESARIANA;2,0
HJK;2019,0;6,0;PARTO GEMELAR NORMAL;1,0
HJK;2019,0;6,0;PARTO NORMAL;128,0
HJK;2019,0;7,0;CESAREAS;65,0
HJK;2019,0;7,0;CIRURGIA GINECOLÓGICA;38,0
HJK;2019,0;7,0;CURETAGEM;14,0
HJK;2019,0;7,0;FORCEPS CESAREA;2,0
HJK;2019,0;7,0;FORCEPS NORMAL;2,0
HJK;2019,0;7,0;PARTO GEMELAR CESARIANA;3,0
HJK;2019,0;7,0;PARTO NORMAL;130,0
HJK;2019,0;8,0;CESAREAS;75,0
HJK;2019,0;8,0;CIRURGIA GINECOLÓGICA;42,0
HJK;2019,0;8,0;CURETAGEM;16,0
HJK;2019,0;8,0;FORCEPS NORMAL;2,0
HJK;2019,0;8,0;PARTO NORMAL;130,0
HJK;2019,0;9,0;CESAREAS;69,0
HJK;2019,0;9,0;CIRURGIA GINECOLÓGICA;36,0
HJK;2019,0;9,0;CURETAGEM;21,0
HJK;2019,0;9,0;FORCEPS CESAREA;1,0
HJK;2019,0;9,0;FORCEPS NORMAL;1,0
HJK;2019,0;9,0;PARTO NORMAL;124,0
HJK;2019,0;10,0;CESAREAS;54,0
HJK;2019,0;10,0;CIRURGIA GINECOLÓGICA;26,0
HJK;2019,0;10,0;CURETAGEM;19,0
HJK;2019,0;10,0;FORCEPS CESAREA;2,0
HJK;2019,0;10,0;FORCEPS NORMAL;1,0
HJK;2019,0;10,0;PARTO GEMELAR CESARIANA;2,0
HJK;2019,0;10,0;PARTO NORMAL;121,0
HJK;2019,0;11,0;CESAREAS;65,0
HJK;2019,0;11,0;CIRURGIA GINECOLÓGICA;21,0
HJK;2019,0;11,0;CURETAGEM;21,0
HJK;2019,0;11,0;FORCEPS NORMAL;1,0
HJK;2019,0;11,0;PARTO GEMELAR CESARIANA;4,0
